Date,Time,Battery,Fix,Latitude,Longitude,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0,PM1_Std,PM2.5_Std,PM10_Std,PM1_Env,PM2.5_Env,PM10_Env,Temp(C),RH(%),P(hPa),Alti(m)
2020/10/15,15:22:39,3.628750,0,0.000000,0.000000,150,50,3,0,0,0,0,0,0,0,0,0,30.360001,25.739258,102865.187500,-127.449402
2020/10/15,15:22:49,3.626250,0,0.000000,0.000000,138,46,3,0,0,0,0,0,0,0,0,0,30.330000,23.285156,102866.687500,-127.572586
2020/10/15,15:22:59,3.625000,0,0.000000,0.000000,159,53,0,0,0,0,0,0,0,0,0,0,30.309999,22.839844,102873.484375,-128.131866
2020/10/15,15:23:9,3.622500,0,0.000000,0.000000,171,57,3,0,0,0,0,0,0,0,0,0,30.280001,22.776367,102871.750000,-127.988823
2020/10/15,15:23:19,3.621250,0,0.000000,0.000000,225,75,3,0,0,0,0,0,0,0,0,0,30.240000,22.688477,102864.023438,-127.354027
2020/10/15,15:23:29,3.621250,0,0.000000,0.000000,198,66,3,0,0,0,0,0,0,0,0,0,30.209999,22.810547,102860.820312,-127.089767
2020/10/15,15:23:39,3.618750,0,0.000000,0.000000,141,44,3,0,0,0,0,0,0,0,0,0,30.180000,23.092773,102864.765625,-127.414627
2020/10/15,15:23:49,3.618750,0,0.000000,0.000000,126,39,0,0,0,0,0,0,0,0,0,0,30.150000,23.115234,102873.125000,-128.102066
2020/10/15,15:23:59,3.613750,0,0.000000,0.000000,234,74,3,0,0,0,0,0,0,0,0,0,30.110001,23.113281,102869.687500,-127.819946
2020/10/15,15:24:9,3.613750,0,0.000000,0.000000,192,60,3,0,0,0,0,0,0,0,0,0,30.080000,23.013672,102862.203125,-127.204018
2020/10/15,15:24:19,3.613750,0,0.000000,0.000000,141,43,0,0,0,0,0,0,0,0,0,0,30.030001,22.899414,102871.328125,-127.954056
2020/10/15,15:24:29,3.613750,0,0.000000,0.000000,207,65,0,0,0,0,1,1,1,1,1,1,29.990000,22.848633,102871.328125,-127.954056
2020/10/15,15:24:39,3.613750,0,0.000000,0.000000,249,83,3,0,0,0,0,0,0,0,0,0,29.950001,22.919922,102864.609375,-127.401718
2020/10/15,15:24:49,3.612500,0,0.000000,0.000000,207,69,0,0,0,0,0,0,0,0,0,0,29.920000,22.943359,102866.289062,-127.539803
2020/10/15,15:24:59,3.612500,0,0.000000,0.000000,240,80,0,0,0,0,0,0,0,0,0,0,29.879999,23.163086,102866.953125,-127.828888
2020/10/15,15:25:9,3.608750,0,0.000000,0.000000,375,125,25,22,11,3,0,3,11,0,3,11,29.850000,23.173828,102869.039062,-127.766304
2020/10/15,15:25:19,3.608750,0,0.000000,0.000000,282,90,6,0,0,0,1,1,1,1,1,1,29.820000,23.135742,102870.296875,-127.869614
2020/10/15,15:25:34,3.611250,0,0.000000,0.000000,186,62,0,0,0,0,0,0,0,0,0,0,29.780001,28.020508,102875.406250,-128.288818
0/0/0,0:0:0,2.971250,0,0.000000,0.000000,882,294,27,0,0,0,5,6,6,5,6,6,23.200001,35.518555,102543.968750,-100.996391
0/0/0,0:0:0,2.988750,0,0.000000,0.000000,822,263,20,0,0,0,5,5,5,5,5,5,23.240000,35.171875,102542.656250,-100.887833
0/0/0,0:0:0,3.005000,0,0.000000,0.000000,753,237,9,3,3,3,4,4,7,4,4,7,23.280001,34.884766,102540.921875,-100.745407
0/0/0,0:0:0,3.020000,0,0.000000,0.000000,1050,343,27,3,3,3,7,7,10,7,7,10,23.330000,34.634766,102538.648438,-100.558167
0/0/0,0:0:0,3.032500,0,0.000000,0.000000,675,209,37,0,0,0,2,5,5,2,5,5,23.389999,34.409180,102538.468750,-100.543221
0/0/0,0:0:0,3.203750,0,0.000000,0.000000,783,253,27,0,0,0,4,5,5,4,5,5,23.430000,34.181641,102541.390625,-100.784256
0/0/0,0:0:0,3.238750,0,0.000000,0.000000,849,276,34,3,3,0,5,6,8,5,6,8,23.480000,34.077148,102535.828125,-100.325096
0/0/0,0:0:0,3.268750,0,0.000000,0.000000,636,202,3,0,0,0,3,3,3,3,3,3,23.520000,33.971680,102536.796875,-100.404778
0/0/0,0:0:0,3.293750,0,0.000000,0.000000,729,224,0,0,0,0,4,4,4,4,4,4,23.570000,33.818359,102538.156250,-100.517326
0/0/0,0:0:0,3.316250,0,0.000000,0.000000,615,201,18,0,0,0,2,3,3,2,3,3,23.629999,33.604492,102535.140625,-100.269318
0/0/0,0:0:0,3.336250,0,0.000000,0.000000,879,270,25,3,3,3,4,5,8,4,5,8,23.700001,33.488281,102534.406250,-100.208565
