Date,Time,Battery,Fix,Latitude,Longitude,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0,PM1_Std,PM2.5_Std,PM10_Std,PM1_Env,PM2.5_Env,PM10_Env
80/1/6,0:0:47,3.561250,0,0.000000,0.000000,195,62,3,0,0,0,0,0,0,0,0,0
80/1/6,0:1:17,3.532500,0,0.000000,0.000000,183,58,12,3,3,0,0,0,1,0,0,1
0/0/0,0:0:0,3.556250,0,0.000000,0.000000,195,59,6,0,0,0,0,0,0,0,0,0
80/1/6,0:0:46,3.713750,0,0.000000,0.000000,282,86,0,0,0,0,0,0,0,0,0,0
80/1/6,0:0:48,3.737500,0,0.000000,0.000000,507,169,3,0,0,0,2,2,2,2,2,2
80/1/6,0:1:18,3.732500,0,0.000000,0.000000,321,94,0,0,0,0,0,0,0,0,0,0
80/1/6,0:1:48,3.741250,0,0.000000,0.000000,432,137,6,0,0,0,1,1,1,1,1,1
80/1/6,0:2:18,3.743750,0,0.000000,0.000000,339,110,3,0,0,0,0,0,0,0,0,0
80/1/6,0:2:46,3.731250,0,0.000000,0.000000,297,87,0,0,0,0,0,0,0,0,0,0
80/1/6,0:3:21,3.743750,0,0.000000,0.000000,378,126,3,0,0,0,1,1,1,1,1,1
80/1/6,0:3:51,3.738750,0,0.000000,0.000000,417,125,0,0,0,0,0,0,0,0,0,0
80/1/6,0:4:21,3.741250,0,0.000000,0.000000,420,137,6,0,0,0,1,1,1,1,1,1
80/1/6,0:4:51,3.747500,0,0.000000,0.000000,261,81,3,0,0,0,0,0,0,0,0,0
80/1/6,0:5:21,3.748750,0,0.000000,0.000000,381,114,3,0,0,0,1,1,1,1,1,1
80/1/6,0:5:51,3.741250,0,0.000000,0.000000,306,102,3,0,0,0,2,2,2,2,2,2
80/1/6,0:6:26,3.751250,0,0.000000,0.000000,351,108,0,0,0,0,0,0,0,0,0,0
80/1/6,0:0:49,3.752500,0,0.000000,0.000000,384,125,15,0,0,0,2,2,2,2,2,2
80/1/6,0:1:19,3.736250,0,0.000000,0.000000,378,119,6,0,0,0,1,1,1,1,1,1
80/1/6,0:1:49,3.738750,0,0.000000,0.000000,369,106,0,0,0,0,0,0,0,0,0,0
80/1/6,0:0:54,3.758750,0,0.000000,0.000000,351,111,6,3,3,3,1,1,3,1,1,3
80/1/6,0:1:24,3.737500,0,0.000000,0.000000,363,114,6,0,0,0,0,1,1,0,1,1
80/1/6,0:1:54,3.753750,0,0.000000,0.000000,459,142,9,0,0,0,1,1,1,1,1,1
