Date,Time,Battery,Fix,Latitude,Longitude,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0,PM1_Std,PM2.5_Std,PM10_Std,PM1_Env,PM2.5_Env,PM10_Env,Temp(C),RH(%),P(hPa),Alti(m)
0/0/0,0:0:0,4.022500,0,0.000000,0.000000,231,77,0,0,0,0,0,0,0,0,0,0,24.299999,34.001953,102914.375000,-131.493912
0/0/0,0:0:0,4.021250,0,0.000000,0.000000,156,48,0,0,0,0,0,0,0,0,0,0,24.330000,33.992188,102914.015625,-131.464111
0/0/0,0:0:0,4.020000,0,0.000000,0.000000,189,59,0,0,0,0,0,0,0,0,0,0,24.360001,33.745117,102910.398438,-131.167191
0/0/0,0:0:0,4.017500,0,0.000000,0.000000,219,69,0,0,0,0,0,0,0,0,0,0,24.100000,33.654297,102871.125000,-127.938164
2020/10/15,14:55:24,4.006250,0,0.000000,0.000000,174,50,0,0,0,0,0,0,0,0,0,0,24.410000,33.689453,102916.359375,-131.656769
2020/10/15,14:55:38,4.018750,0,0.000000,0.000000,153,44,0,0,0,0,0,0,0,0,0,0,24.440001,33.430664,102922.281250,-132.143341
2020/10/16,8:52:0,4.007500,0,0.000000,0.000000,201,59,7,0,0,0,0,0,0,0,0,0,20.740000,45.352539,102119.984375,-65.978577
2020/10/16,8:52:10,4.018750,0,0.000000,0.000000,138,39,14,0,0,0,0,0,0,0,0,0,20.770000,45.589844,102122.046875,-66.149452
2020/10/16,8:52:20,4.017500,0,0.000000,0.000000,198,56,0,0,0,0,0,0,0,0,0,0,20.809999,45.182617,102131.984375,-66.970840
2020/10/16,8:52:30,4.017500,0,0.000000,0.000000,186,58,0,0,0,0,0,0,0,0,0,0,20.840000,45.080078,102133.609375,-67.105728
2020/10/16,8:52:40,4.015000,0,0.000000,0.000000,108,36,0,0,0,0,0,0,0,0,0,0,20.860001,44.989258,102131.640625,-66.942863
2020/10/16,8:52:50,4.015000,0,0.000000,0.000000,72,24,0,0,0,0,0,0,0,0,0,0,20.889999,45.002930,102134.296875,-67.162682
2020/10/16,8:53:0,4.015000,0,0.000000,0.000000,129,40,0,0,0,0,0,0,0,0,0,0,20.910000,44.922852,102141.781250,-67.781166
2020/10/16,8:53:10,4.018750,0,0.000000,0.000000,108,33,0,0,0,0,0,0,0,0,0,0,20.930000,44.936523,102149.281250,-68.401611
2020/10/16,8:53:20,4.017500,0,0.000000,0.000000,174,51,3,0,0,0,0,0,0,0,0,0,20.940001,44.833008,102145.054688,-68.052925
2020/10/16,8:53:30,4.017500,0,0.000000,0.000000,69,23,3,0,0,0,0,0,0,0,0,0,20.969999,44.789062,102154.781250,-68.857178
2020/10/16,8:53:40,4.017500,0,0.000000,0.000000,132,40,0,0,0,0,0,0,0,0,0,0,20.980000,44.883789,102155.390625,-68.907127
2020/10/16,8:53:50,4.018750,0,0.000000,0.000000,126,31,0,0,0,0,0,0,0,0,0,0,21.010000,45.061523,102159.070312,-69.211830
2020/10/16,8:54:0,4.018750,0,0.000000,0.000000,168,46,0,0,0,0,0,0,0,0,0,0,21.020000,44.887695,102152.015625,-68.628395
2020/10/16,8:54:10,4.018750,0,0.000000,0.000000,234,63,0,0,0,0,0,0,0,0,0,0,21.049999,44.902344,102166.390625,-69.817200
2020/10/16,8:54:20,4.017500,0,0.000000,0.000000,165,51,0,0,0,0,0,0,0,0,0,0,21.070000,44.741211,102160.375000,-69.319717
2020/10/16,8:54:30,4.015000,0,0.000000,0.000000,156,52,0,0,0,0,0,0,0,0,0,0,21.080000,44.776367,102160.382812,-69.320717
2020/10/16,8:54:40,4.015000,0,0.000000,0.000000,108,36,6,0,0,0,0,0,0,0,0,0,21.090000,44.719727,102163.414062,-69.571457
2020/10/16,8:54:50,4.015000,0,0.000000,0.000000,93,28,6,0,0,0,0,0,0,0,0,0,21.120001,44.616211,102155.375000,-68.906128
2020/10/16,8:55:0,4.015000,0,0.000000,0.000000,96,23,0,0,0,0,0,0,0,0,0,0,21.139999,44.594727,102157.234375,-69.059975
2020/10/16,8:55:10,4.015000,0,0.000000,0.000000,153,45,0,0,0,0,0,0,0,0,0,0,21.150000,44.525391,102157.250000,-69.060974
2020/10/16,8:55:20,4.015000,0,0.000000,0.000000,219,73,3,0,0,0,1,1,1,1,1,1,21.170000,44.632812,102148.804688,-68.362648
2020/10/16,8:55:30,4.016250,0,0.000000,0.000000,198,59,0,0,0,0,0,0,0,0,0,0,21.190001,44.599609,102150.625000,-68.513504
2020/10/16,8:55:40,4.017500,0,0.000000,0.000000,198,63,0,0,0,0,0,0,0,0,0,0,21.209999,44.484375,102146.429688,-68.165825
2020/10/16,8:55:50,4.017500,0,0.000000,0.000000,159,45,0,0,0,0,0,0,0,0,0,0,21.219999,44.626953,102134.320312,-67.164680
2020/10/16,8:56:0,4.017500,0,0.000000,0.000000,105,31,0,0,0,0,0,0,0,0,0,0,21.250000,44.675781,102136.578125,-67.351532
