Date,Time,Battery,Fix,Latitude,Longitude,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0,PM1_Std,PM2.5_Std,PM10_Std,PM1_Env,PM2.5_Env,PM10_Env,Temp(C),RH(%),P(hPa),Alti(m)
2020/10/15,14:39:15,3.890000,0,0.000000,0.000000,183,57,3,0,0,0,0,0,0,0,0,0,23.840000,33.483398,102920.437500,-131.992401
2020/10/15,14:39:25,3.890000,0,0.000000,0.000000,183,53,0,0,0,0,0,0,0,0,0,0,23.870001,33.233398,102920.507812,-131.998367
2020/10/15,14:39:35,3.888750,0,0.000000,0.000000,150,38,0,0,0,0,0,0,0,0,0,0,23.889999,32.995117,102917.000000,-131.710388
2020/10/15,14:39:45,3.888750,0,0.000000,0.000000,135,38,0,0,0,0,0,0,0,0,0,0,23.910000,33.380859,102919.062500,-132.109589
2020/10/15,14:39:55,3.883750,0,0.000000,0.000000,135,38,3,0,0,0,0,0,0,0,0,0,23.940001,33.082031,102917.382812,-131.741180
2020/10/15,14:40:5,3.885000,0,0.000000,0.000000,192,60,3,0,0,0,0,0,0,0,0,0,23.959999,32.928711,102920.343750,-131.985458
2020/10/15,14:40:15,3.886250,0,0.000000,0.000000,189,55,0,0,0,0,0,0,0,0,0,0,23.990000,33.421875,102920.046875,-131.959641
2020/10/15,14:40:25,3.886250,0,0.000000,0.000000,249,75,3,0,0,0,0,0,0,0,0,0,24.010000,32.872070,102922.117188,-132.130432
2020/10/16,8:51:38,3.873750,0,0.000000,0.000000,60,20,0,0,0,0,0,0,0,0,0,0,20.430000,44.767578,102084.351562,-63.030205
2020/10/16,8:51:48,3.886250,0,0.000000,0.000000,66,22,0,0,0,0,0,0,0,0,0,0,20.459999,44.864258,102080.335938,-62.697338
2020/10/16,8:51:58,3.886250,0,0.000000,0.000000,36,12,0,0,0,0,0,0,0,0,0,0,20.480000,44.844727,102080.507812,-62.712334
2020/10/16,8:52:8,3.878750,0,0.000000,0.000000,57,15,0,0,0,0,0,0,0,0,0,0,20.520000,44.669922,102086.015625,-63.168148
2020/10/16,8:52:18,3.878750,0,0.000000,0.000000,165,51,0,0,0,0,0,0,0,0,0,0,20.549999,44.458984,102093.109375,-63.754883
2020/10/16,8:52:28,3.878750,0,0.000000,0.000000,201,63,0,0,0,0,0,0,0,0,0,0,20.570000,44.461914,102098.367188,-64.189667
2020/10/16,8:52:38,3.878750,0,0.000000,0.000000,117,39,3,0,0,0,0,0,0,0,0,0,20.590000,44.333008,102095.843750,-63.980770
2020/10/16,8:52:48,3.881250,0,0.000000,0.000000,159,53,3,0,0,0,0,0,0,0,0,0,20.610001,44.252930,102108.031250,-64.990211
2020/10/16,8:52:58,3.882500,0,0.000000,0.000000,105,35,0,0,0,0,0,0,0,0,0,0,20.629999,44.289062,102109.265625,-65.092155
2020/10/16,8:53:8,3.882500,0,0.000000,0.000000,129,39,3,0,0,0,0,0,0,0,0,0,20.650000,44.184570,102110.398438,-65.186096
2020/10/16,8:53:18,3.883750,0,0.000000,0.000000,120,36,6,0,0,0,0,0,0,0,0,0,20.670000,44.579102,102115.226562,-65.584839
2020/10/16,8:53:28,3.883750,0,0.000000,0.000000,150,50,3,0,0,0,0,0,0,0,0,0,20.690001,44.272461,102122.828125,-66.213409
2020/10/16,8:53:38,3.868750,0,0.000000,0.000000,156,48,0,0,0,0,0,0,0,0,0,0,20.719999,44.083984,102118.812500,-65.881638
2020/10/16,8:53:48,3.883750,0,0.000000,0.000000,123,37,0,0,0,0,0,0,0,0,0,0,20.730000,44.251953,102125.671875,-66.449234
2020/10/16,8:53:58,3.883750,0,0.000000,0.000000,114,35,0,0,0,0,0,0,0,0,0,0,20.750000,44.182617,102127.195312,-66.575142
2020/10/16,8:54:8,3.882500,0,0.000000,0.000000,42,14,0,0,0,0,0,0,0,0,0,0,20.770000,44.100586,102124.234375,-66.330322
2020/10/16,8:54:18,3.882500,0,0.000000,0.000000,42,14,0,0,0,0,0,0,0,0,0,0,20.790001,44.163086,102127.187500,-66.574142
2020/10/16,8:54:28,3.882500,0,0.000000,0.000000,87,21,3,0,0,0,0,0,0,0,0,0,20.820000,44.343750,102129.671875,-66.779984
2020/10/16,8:54:38,3.880000,0,0.000000,0.000000,69,23,3,0,0,0,0,0,0,0,0,0,20.840000,44.619141,102122.906250,-66.600121
2020/10/16,8:54:48,3.878750,0,0.000000,0.000000,57,19,0,0,0,0,0,0,0,0,0,0,20.860001,44.122070,102127.312500,-66.585136
2020/10/16,8:54:58,3.878750,0,0.000000,0.000000,81,27,0,0,0,0,0,0,0,0,0,0,20.870001,44.076172,102122.546875,-66.190422
2020/10/16,8:55:8,3.881250,0,0.000000,0.000000,156,45,0,0,0,0,0,0,0,0,0,0,20.900000,44.018555,102118.531250,-65.858658
2020/10/16,8:55:18,3.881250,0,0.000000,0.000000,180,53,0,0,0,0,0,0,0,0,0,0,20.920000,44.008789,102110.023438,-65.154114
2020/10/16,8:55:28,3.882500,0,0.000000,0.000000,177,55,0,0,0,0,0,0,0,0,0,0,20.930000,44.092773,102108.882812,-65.060173
2020/10/16,8:55:38,3.868750,0,0.000000,0.000000,54,14,0,0,0,0,0,0,0,0,0,0,20.950001,44.047852,102100.812500,-64.392555
2020/10/16,8:55:48,3.881250,0,0.000000,0.000000,123,33,0,0,0,0,0,0,0,0,0,0,20.980000,43.777344,102102.359375,-64.520485
2020/10/16,8:55:58,3.880000,0,0.000000,0.000000,135,37,0,0,0,0,0,0,0,0,0,0,20.990000,43.838867,102097.062500,-64.082718
2020/10/16,8:56:8,3.881250,0,0.000000,0.000000,72,24,0,0,0,0,0,0,0,0,0,0,21.020000,44.506836,102091.648438,-63.633938
2020/10/16,8:56:18,3.881250,0,0.000000,0.000000,21,7,0,0,0,0,0,0,0,0,0,0,21.030001,44.187500,102082.718750,-62.895260
2020/10/16,8:56:32,3.873750,0,0.000000,0.000000,63,18,0,0,0,0,0,0,0,0,0,0,21.059999,44.059570,102080.968750,-62.750317
2020/10/16,8:56:42,3.876250,0,0.000000,0.000000,51,17,0,0,0,0,0,0,0,0,0,0,21.080000,43.930664,102074.281250,-62.196514
2020/10/16,8:56:52,3.877500,0,0.000000,0.000000,36,12,0,0,0,0,0,0,0,0,0,0,21.100000,43.872070,102068.546875,-61.722664
2020/10/16,8:57:2,3.878750,0,0.000000,0.000000,201,67,0,0,0,0,0,0,0,0,0,0,21.120001,43.731445,102063.664062,-61.317772
2020/10/16,8:57:12,3.880000,0,0.000000,0.000000,207,69,3,0,0,0,0,0,0,0,0,0,21.139999,43.507812,102068.062500,-61.681675
2020/10/16,8:57:22,3.880000,0,0.000000,0.000000,90,27,3,0,0,0,0,0,0,0,0,0,21.160000,43.984375,102059.031250,-60.934860
2020/10/16,8:57:32,3.880000,0,0.000000,0.000000,108,29,0,0,0,0,0,0,0,0,0,0,21.170000,43.594727,102056.492188,-60.724899
2020/10/16,8:57:42,3.878750,0,0.000000,0.000000,180,52,3,3,0,0,0,0,1,0,0,1,21.190001,43.928711,102066.445312,-61.547710
2020/10/16,8:57:52,3.877500,0,0.000000,0.000000,207,65,3,3,0,0,1,1,2,1,1,2,21.209999,43.549805,102056.015625,-60.684910
2020/10/16,8:58:2,3.876250,0,0.000000,0.000000,129,39,3,0,0,0,0,0,0,0,0,0,21.230000,43.469727,102057.140625,-60.777889
2020/10/16,8:58:12,3.873750,0,0.000000,0.000000,129,39,0,0,0,0,0,0,0,0,0,0,21.260000,43.614258,102059.187500,-60.947857
2020/10/16,8:58:22,3.873750,0,0.000000,0.000000,321,104,3,0,0,0,1,1,1,1,1,1,21.280001,44.781250,102058.468750,-60.887867
2020/10/16,8:58:32,3.873750,0,0.000000,0.000000,255,78,3,0,0,0,1,1,1,1,1,1,21.290001,43.795898,102065.757812,-61.491726
2020/10/16,8:58:42,3.873750,0,0.000000,0.000000,93,27,0,0,0,0,0,0,0,0,0,0,21.309999,43.809570,102065.031250,-61.431744
2020/10/16,8:58:52,3.875000,0,0.000000,0.000000,201,56,0,0,0,0,0,0,0,0,0,0,21.340000,43.396484,102071.171875,-61.939598
2020/10/16,8:59:2,3.876250,0,0.000000,0.000000,189,56,3,0,0,0,0,0,0,0,0,0,21.350000,43.290039,102077.046875,-62.425438
2020/10/16,8:59:12,3.877500,0,0.000000,0.000000,135,45,3,0,0,0,0,0,0,0,0,0,21.360001,43.078125,102083.789062,-62.983227
2020/10/16,8:59:22,3.878750,0,0.000000,0.000000,96,32,0,0,0,0,0,0,0,0,0,0,21.379999,43.186523,102089.578125,-63.463020
2020/10/16,8:59:32,3.878750,0,0.000000,0.000000,69,20,0,0,0,0,0,0,0,0,0,0,21.400000,42.950195,102085.234375,-63.103176
2020/10/16,8:59:42,3.878750,0,0.000000,0.000000,117,32,3,0,0,0,0,0,0,0,0,0,21.410000,42.916016,102088.250000,-63.353069
