Date,Time,Battery,Fix,Latitude,Longitude,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0,PM1_Std,PM2.5_Std,PM10_Std,PM1_Env,PM2.5_Env,PM10_Env,Temp(C),RH(%),P(hPa),Alti(m)
0/0/0,0:0:0,4.061250,0,0.000000,0.000000,183,51,3,0,0,0,0,0,0,0,0,0,24.170000,31.999023,102863.429688,-127.304359
0/0/0,0:0:0,4.068750,0,0.000000,0.000000,267,61,6,0,0,0,1,1,1,1,1,1,24.209999,31.916016,102867.468750,-127.637161
0/0/0,0:0:0,4.067500,0,0.000000,0.000000,165,41,0,0,0,0,0,0,0,0,0,0,24.240000,33.856445,102861.593750,-127.153351
0/0/0,0:0:0,4.057500,0,0.000000,0.000000,162,51,0,0,0,0,0,0,0,0,0,0,24.270000,32.579102,102868.054688,-127.684845
0/0/0,0:0:0,4.055000,0,0.000000,0.000000,201,58,0,0,0,0,0,0,0,0,0,0,24.299999,32.081055,102866.007812,-127.515961
0/0/0,0:0:0,4.061250,0,0.000000,0.000000,210,57,3,0,0,0,0,0,0,0,0,0,24.340000,31.827148,102863.828125,-127.337143
0/0/0,0:0:0,4.063750,0,0.000000,0.000000,285,88,6,0,0,0,1,1,1,1,1,1,24.370001,31.695312,102871.710938,-127.917297
0/0/0,0:0:0,4.066250,0,0.000000,0.000000,324,101,6,3,3,0,1,1,3,1,1,3,24.400000,31.685547,102857.906250,-126.850342
0/0/0,0:0:0,4.058750,0,0.000000,0.000000,165,55,3,3,3,0,0,0,2,0,0,2,24.440001,37.979492,102856.984375,-126.773842
0/0/0,0:0:0,4.058750,0,0.000000,0.000000,213,65,3,3,3,0,0,0,2,0,0,2,24.590000,31.528320,102852.640625,-126.417168
0/0/0,0:0:0,4.057500,0,0.000000,0.000000,264,71,6,3,3,0,0,0,2,0,0,2,24.620001,31.419922,102853.421875,-126.480751
0/0/0,0:0:0,4.063750,0,0.000000,0.000000,204,62,3,0,0,0,0,0,0,0,0,0,24.660000,31.276367,102857.875000,-126.847359
0/0/0,0:0:0,4.061250,0,0.000000,0.000000,204,68,0,0,0,0,1,1,1,1,1,1,24.690001,31.278320,102861.953125,-127.183159
0/0/0,0:0:0,4.051250,0,0.000000,0.000000,123,38,0,0,0,0,0,0,0,0,0,0,24.719999,31.073242,102850.554688,-126.245285
0/0/0,0:0:0,4.060000,0,0.000000,0.000000,195,52,3,0,0,0,0,0,0,0,0,0,24.740000,30.940430,102852.343750,-126.392326
0/0/0,0:0:0,4.061250,0,0.000000,0.000000,171,48,0,0,0,0,0,0,0,0,0,0,24.770000,31.051758,102849.031250,-126.121086
0/0/0,0:0:0,4.063750,0,0.000000,0.000000,147,38,0,0,0,0,0,0,0,0,0,0,19.990000,44.962891,102107.718750,-64.964233
0/0/0,0:0:0,4.053750,0,0.000000,0.000000,84,21,3,0,0,0,0,0,0,0,0,0,20.030001,44.859375,102110.187500,-65.168106
0/0/0,0:0:0,4.058750,0,0.000000,0.000000,96,32,3,0,0,0,0,0,0,0,0,0,20.070000,44.683594,102111.281250,-65.258049
0/0/0,0:0:0,4.051250,0,0.000000,0.000000,93,28,0,0,0,0,0,0,0,0,0,0,20.110001,44.578125,102104.046875,-64.660408
0/0/0,0:0:0,4.050000,0,0.000000,0.000000,141,47,0,0,0,0,0,0,0,0,0,0,20.139999,44.497070,102107.125000,-64.914261
0/0/0,0:0:0,4.050000,0,0.000000,0.000000,183,55,0,0,0,0,0,0,0,0,0,0,20.180000,44.489258,102098.906250,-64.234642
0/0/0,0:0:0,4.058750,0,0.000000,0.000000,270,80,3,0,0,0,1,1,1,1,1,1,20.209999,44.444336,102094.492188,-63.834843
0/0/0,0:0:0,4.061250,0,0.000000,0.000000,306,92,6,0,0,0,1,1,1,1,1,1,20.260000,44.352539,102091.765625,-63.643936
0/0/0,0:0:0,4.053750,0,0.000000,0.000000,231,77,6,0,0,0,1,1,1,1,1,1,20.290001,44.235352,102088.765625,-63.395050
0/0/0,0:0:0,4.061250,0,0.000000,0.000000,138,46,0,0,0,0,0,0,0,0,0,0,20.320000,44.128906,102083.929688,-62.995220
0/0/0,0:0:0,4.061250,0,0.000000,0.000000,84,28,3,0,0,0,0,0,0,0,0,0,20.350000,44.072266,102078.710938,-61.864620
0/0/0,0:0:0,4.051250,0,0.000000,0.000000,108,32,0,0,0,0,0,0,0,0,0,0,20.389999,44.015625,102069.492188,-61.800640
0/0/0,0:0:0,4.061250,0,0.000000,0.000000,135,42,3,3,3,3,0,0,3,0,0,3,20.420000,43.921875,102067.468750,-61.632687
0/0/0,0:0:0,4.056250,0,0.000000,0.000000,135,45,6,3,3,3,0,0,3,0,0,3,20.450001,43.840820,102064.492188,-61.386753
0/0/0,0:0:0,4.055000,0,0.000000,0.000000,156,48,0,0,0,0,0,0,0,0,0,0,20.480000,43.880859,102055.843750,-60.670910
0/0/0,0:0:0,4.055000,0,0.000000,0.000000,87,25,0,0,0,0,0,0,0,0,0,0,20.510000,43.846680,102057.218750,-60.784889
0/0/0,0:0:0,4.058750,0,0.000000,0.000000,915,284,64,6,3,0,4,8,10,4,8,10,20.559999,49.416016,102049.140625,-60.116001
0/0/0,0:0:0,4.048750,0,0.000000,0.000000,102,34,6,6,6,6,0,0,5,0,0,5,20.750000,44.437500,102041.664062,-59.215080
0/0/0,0:0:0,4.060000,0,0.000000,0.000000,111,37,0,0,0,0,0,0,0,0,0,0,20.790001,43.898438,102041.906250,-59.517063
0/0/0,0:0:0,4.057500,0,0.000000,0.000000,129,33,0,0,0,0,0,0,0,0,0,0,20.830000,45.723633,102036.328125,-59.055084
0/0/0,0:0:0,4.053750,0,0.000000,0.000000,183,44,0,0,0,0,0,0,0,0,0,0,20.879999,49.740234,102047.515625,-59.981018
0/0/0,0:0:0,4.046250,0,0.000000,0.000000,135,34,0,0,0,0,0,0,0,0,0,0,20.920000,45.190430,102047.601562,-59.989014
0/0/0,0:0:0,4.045000,0,0.000000,0.000000,84,28,0,0,0,0,0,0,0,0,0,0,20.969999,44.193359,102050.500000,-60.228985
0/0/0,0:0:0,4.046250,0,0.000000,0.000000,114,38,0,0,0,0,0,0,0,0,0,0,21.020000,43.608398,102056.468750,-60.722900
0/0/0,0:0:0,4.056250,0,0.000000,0.000000,66,22,0,0,0,0,0,0,0,0,0,0,21.070000,43.262695,102060.609375,-61.064831
0/0/0,0:0:0,4.058750,0,0.000000,0.000000,156,45,0,0,0,0,0,0,0,0,0,0,21.120001,43.013672,102068.578125,-61.724663
0/0/0,0:0:0,4.051250,0,0.000000,0.000000,204,57,0,0,0,0,0,0,0,0,0,0,21.160000,44.514648,102069.617188,-61.810638
