Timestamp,Date,Time,Battery,Fix,Latitude,Longitude,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0,PM1_Std,PM2.5_Std,PM10_Std,PM1_Env,PM2.5_Env,PM10_Env,Temp(C),RH(%),P(hPa),Alti(m)
2020-09-13 00:00:05,2020/9/13,0:0:5,3.73625,0,0.0,0.0,15765,5187,1931,254,56,25,108,239,285,71,159,189,16.290001,64.375,100723.507812,50.199112
2020-09-13 00:00:15,2020/9/13,0:0:15,3.73625,0,0.0,0.0,16833,5472,2093,301,83,64,111,256,317,73,170,211,16.290001,64.398438,100726.296875,49.966190000000005
2020-09-13 00:00:25,2020/9/13,0:0:25,3.74,0,0.0,0.0,16494,5356,2135,276,90,44,111,254,314,73,169,209,16.290001,64.480469,100719.3125,50.550270000000005
2020-09-13 00:00:35,2020/9/13,0:0:35,3.73875,0,0.0,0.0,15528,5073,1910,258,66,22,107,234,283,70,155,188,16.280001000000002,64.396484,100728.265625,49.450855
2020-09-13 00:00:45,2020/9/13,0:0:45,3.735,0,0.0,0.0,15831,5186,2098,310,86,41,106,251,315,70,166,209,16.290001,64.421875,100721.695312,50.350689
2020-09-13 00:00:55,2020/9/13,0:0:55,3.73875,0,0.0,0.0,16845,5456,2096,288,82,36,114,259,313,75,171,207,16.280001000000002,64.40918,100722.671875,50.268837
2020-09-13 00:01:05,2020/9/13,0:1:5,3.73875,0,0.0,0.0,16059,5257,1925,216,71,38,111,236,286,73,156,190,16.290001,64.268555,100714.140625,50.982791999999996
2020-09-13 00:01:15,2020/9/13,0:1:15,3.7375,0,0.0,0.0,17406,5626,2045,303,118,60,116,255,335,76,170,223,16.290001,64.33886700000001,100726.296875,49.966190000000005
2020-09-13 00:01:25,2020/9/13,0:1:25,3.735,0,0.0,0.0,16791,5455,1972,254,57,16,114,254,291,75,168,193,16.280001000000002,64.49121099999999,100719.882812,50.50227
2020-09-13 00:01:35,2020/9/13,0:1:35,3.73625,0,0.0,0.0,15741,5133,1967,334,98,49,110,247,314,72,164,208,16.290001,64.50488299999999,100724.484375,50.117259999999995
2020-09-13 00:01:45,2020/9/13,0:1:45,3.73625,0,0.0,0.0,16545,5372,2127,342,117,71,112,253,340,74,167,226,16.290001,64.59863299999999,100727.695312,49.848469
2020-09-13 00:01:55,2020/9/13,0:1:55,3.73625,0,0.0,0.0,16344,5326,2030,250,83,53,109,248,306,72,165,203,16.280001000000002,64.609375,100719.882812,50.50227
2020-09-13 00:02:05,2020/9/13,0:2:5,3.73875,0,0.0,0.0,15972,5197,1997,288,86,32,110,243,299,73,161,198,16.290001,64.563477,100720.71875,50.432037
2020-09-13 00:02:15,2020/9/13,0:2:15,3.73875,0,0.0,0.0,16287,5295,2104,287,65,17,109,254,299,72,168,198,16.290001,64.681641,100713.734375,51.017151
2020-09-13 00:02:25,2020/9/13,0:2:25,3.73625,0,0.0,0.0,16389,5362,2074,331,75,41,108,254,310,71,168,206,16.290001,64.62207,100718.335938,50.632121999999995
2020-09-13 00:02:35,2020/9/13,0:2:35,3.73625,0,0.0,0.0,15705,5102,2013,287,71,31,104,242,299,68,160,199,16.290001,64.610352,100721.125,50.398689000000005
2020-09-13 00:02:45,2020/9/13,0:2:45,3.735,0,0.0,0.0,15846,5192,1865,274,71,40,106,242,296,70,161,196,16.290001,64.575195,100727.695312,49.848469
2020-09-13 00:02:55,2020/9/13,0:2:55,3.7375,0,0.0,0.0,16041,5254,2041,266,62,22,112,249,292,74,166,193,16.290001,64.58691400000001,100721.125,50.398689000000005
2020-09-13 00:03:05,2020/9/13,0:3:5,3.73625,0,0.0,0.0,16563,5385,2060,322,89,40,115,262,328,75,174,218,16.290001,64.59863299999999,100724.90625,50.081894
2020-09-13 00:03:15,2020/9/13,0:3:15,3.73625,0,0.0,0.0,17286,5655,2094,262,82,44,119,256,316,78,169,209,16.290001,64.693359,100722.109375,50.31633
2020-09-13 00:03:25,2020/9/13,0:3:25,3.73625,0,0.0,0.0,17658,5731,2064,266,52,23,121,263,298,80,174,197,16.290001,64.751953,100723.507812,50.363319
2020-09-13 00:03:35,2020/9/13,0:3:35,3.735,0,0.0,0.0,16422,5339,1959,234,48,26,113,249,285,74,165,189,16.280001000000002,64.77441400000001,100719.46875,50.537132
2020-09-13 00:03:45,2020/9/13,0:3:45,3.73875,0,0.0,0.0,16389,5343,2032,330,94,56,109,250,320,72,166,213,16.280001000000002,64.80957,100715.695312,50.852425
2020-09-13 00:03:55,2020/9/13,0:3:55,3.73375,0,0.0,0.0,15504,5037,1922,239,86,46,107,230,293,70,152,194,16.280001000000002,64.880859,100720.453125,50.454772999999996
2020-09-13 00:04:05,2020/9/13,0:4:5,3.73625,0,0.0,0.0,16389,5357,1943,231,75,37,110,240,293,72,159,194,16.280001000000002,64.916016,100718.484375,50.619492
2020-09-13 00:04:15,2020/9/13,0:4:15,3.735,0,0.0,0.0,16119,5235,1847,220,33,16,109,238,268,72,158,178,16.280001000000002,64.797852,100720.453125,50.454772999999996
2020-09-13 00:04:25,2020/9/13,0:4:25,3.73375,0,0.0,0.0,16389,5312,1991,246,65,25,112,246,295,74,163,196,16.27,64.704102,100712.640625,51.108105
2020-09-13 00:04:35,2020/9/13,0:4:35,3.73625,0,0.0,0.0,16896,5499,2060,284,94,58,114,247,319,75,164,212,16.280001000000002,64.68066400000001,100718.640625,50.606353999999996
2020-09-13 00:04:45,2020/9/13,0:4:45,3.73375,0,0.0,0.0,16110,5249,2045,291,82,56,113,251,320,74,167,213,16.27,64.750977,100714.03125,50.991886
2020-09-13 00:04:55,2020/9/13,0:4:55,3.73625,0,0.0,0.0,17292,5618,2107,325,95,48,116,260,332,76,173,221,16.280001000000002,64.704102,100723.242188,50.221344
2020-09-13 00:05:05,2020/9/13,0:5:5,3.73375,0,0.0,0.0,16713,5438,2044,303,75,38,113,256,310,74,170,206,16.280001000000002,64.667969,100719.46875,50.537132
2020-09-13 00:05:15,2020/9/13,0:5:15,3.73625,0,0.0,0.0,15930,5198,1907,243,45,24,110,238,276,72,158,184,16.280001000000002,64.574219,100723.242188,50.221344
2020-09-13 00:05:25,2020/9/13,0:5:25,3.73875,0,0.0,0.0,16026,5243,1910,224,64,24,112,234,282,74,155,188,16.280001000000002,64.609375,100716.265625,50.804928000000004
2020-09-13 00:05:35,2020/9/13,0:5:35,3.73875,0,0.0,0.0,16209,5285,1983,266,86,19,110,242,301,72,160,200,16.27,64.726562,100716.984375,50.043999
2020-09-13 00:05:45,2020/9/13,0:5:45,3.73375,0,0.0,0.0,15459,5042,2014,251,56,23,103,247,287,68,163,191,16.27,64.621094,100721.015625,50.407784
2020-09-13 00:05:55,2020/9/13,0:5:55,3.735,0,0.0,0.0,15441,5044,2060,208,45,20,101,242,275,66,160,183,16.26,64.724609,100719.328125,50.548752
2020-09-13 00:06:05,2020/9/13,0:6:5,3.73375,0,0.0,0.0,16608,5402,2109,297,107,58,111,251,326,73,167,217,16.27,64.621094,100716.828125,50.757938
2020-09-13 00:06:15,2020/9/13,0:6:15,3.73875,0,0.0,0.0,16380,5323,2047,265,60,45,111,250,299,73,166,199,16.27,64.66699200000001,100718.375,50.628082
2020-09-13 00:06:25,2020/9/13,0:6:25,3.73625,0,0.0,0.0,16149,5269,2029,266,94,47,106,242,309,70,160,206,16.26,64.666016,100723.515625,50.198605
2020-09-13 00:06:35,2020/9/13,0:6:35,3.73375,0,0.0,0.0,16197,5273,2036,277,83,50,109,243,306,72,161,204,16.26,64.701172,100720.71875,50.432037
2020-09-13 00:06:45,2020/9/13,0:6:45,3.73875,0,0.0,0.0,16461,5388,2152,323,60,13,107,269,309,70,179,206,16.27,64.621094,100719.625,50.523994
2020-09-13 00:06:55,2020/9/13,0:6:55,3.73375,0,0.0,0.0,16506,5413,2087,258,86,48,111,250,307,73,166,204,16.26,64.61816400000001,100720.3125,50.466396
2020-09-13 00:07:05,2020/9/13,0:7:5,3.735,0,0.0,0.0,16779,5483,2166,338,125,48,109,256,340,72,169,226,16.27,64.63183599999999,100716.0,50.827667
2020-09-13 00:07:15,2020/9/13,0:7:15,3.73625,0,0.0,0.0,16665,5445,2082,280,87,36,113,257,312,74,170,207,16.27,64.66699200000001,100719.203125,50.559364
2020-09-13 00:07:25,2020/9/13,0:7:25,3.73875,0,0.0,0.0,16662,5441,2105,282,87,32,109,254,313,72,169,208,16.27,64.69043,100723.96875,50.160713
2020-09-13 00:07:35,2020/9/13,0:7:35,3.73375,0,0.0,0.0,16719,5413,2013,236,62,40,112,247,290,74,164,192,16.26,64.570312,100718.5,50.617977
2020-09-13 00:07:45,2020/9/13,0:7:45,3.73625,0,0.0,0.0,15999,5277,2146,251,70,40,108,249,298,71,165,198,16.26,64.640625,100721.289062,50.384541
2020-09-13 00:07:55,2020/9/13,0:7:55,3.73375,0,0.0,0.0,16059,5216,2108,334,103,56,108,255,326,71,170,217,16.26,64.640625,100722.273438,50.302689
2020-09-13 00:08:05,2020/9/13,0:8:5,3.73375,0,0.0,0.0,15897,5190,1981,272,107,44,109,235,310,72,156,205,16.27,64.655273,100716.984375,50.744801
2020-09-13 00:08:15,2020/9/13,0:8:15,3.7375,0,0.0,0.0,16425,5345,1898,273,98,50,110,239,308,72,158,205,16.26,64.66503900000001,100718.5,50.617977
2020-09-13 00:08:25,2020/9/13,0:8:25,3.73375,0,0.0,0.0,17016,5543,2113,289,68,35,114,263,310,75,175,206,16.26,64.606445,100720.71875,50.432037
2020-09-13 00:08:35,2020/9/13,0:8:35,3.735,0,0.0,0.0,16251,5300,2029,217,58,26,108,248,287,71,164,191,16.26,64.605469,100724.085938,50.151112
2020-09-13 00:08:45,2020/9/13,0:8:45,3.73625,0,0.0,0.0,16038,5246,2052,277,78,41,109,249,306,72,165,204,16.26,64.594727,100721.703125,50.350184999999996
2020-09-13 00:08:55,2020/9/13,0:8:55,3.73625,0,0.0,0.0,15696,5122,2007,273,93,58,105,242,309,69,161,205,16.26,64.630859,100717.515625,50.700336
2020-09-13 00:09:05,2020/9/13,0:9:5,3.73375,0,0.0,0.0,15534,5061,1952,266,45,16,106,252,286,70,167,189,16.26,64.46386700000001,100714.3125,50.968643
2020-09-13 00:09:15,2020/9/13,0:9:15,3.73375,0,0.0,0.0,15558,5089,2049,270,83,40,101,241,301,66,160,200,16.26,64.487305,100714.3125,50.968643
2020-09-13 00:09:25,2020/9/13,0:9:25,3.7325,0,0.0,0.0,16218,5277,1919,286,70,40,109,246,301,72,163,200,16.26,64.51074200000001,100711.515625,51.202090999999996
2020-09-13 00:09:35,2020/9/13,0:9:35,3.735,0,0.0,0.0,16344,5318,1943,283,113,66,115,229,312,76,152,207,16.25,64.570312,100717.671875,50.687706
2020-09-13 00:09:45,2020/9/13,0:9:45,3.73625,0,0.0,0.0,16155,5269,1998,238,59,26,110,241,289,72,160,192,16.25,64.582031,100719.0625,50.570984
2020-09-13 00:09:55,2020/9/13,0:9:55,3.73625,0,0.0,0.0,16398,5354,2201,280,91,50,110,252,319,72,168,212,16.26,64.499023,100717.101562,50.735199
2020-09-13 00:10:05,2020/9/13,0:10:5,3.73375,0,0.0,0.0,16308,5333,2011,264,85,46,110,246,307,72,163,204,16.25,64.533203,100717.820312,50.674568
2020-09-13 00:10:15,2020/9/13,0:10:15,3.735,0,0.0,0.0,17802,5767,2068,300,88,30,122,261,320,80,173,212,16.25,64.487305,100716.84375,50.756423999999996
2020-09-13 00:10:25,2020/9/13,0:10:25,3.73625,0,0.0,0.0,16584,5390,1964,242,60,29,113,246,291,74,163,193,16.24,64.485352,100719.367188,50.545722999999995
2020-09-13 00:10:35,2020/9/13,0:10:35,3.73375,0,0.0,0.0,16380,5329,1961,216,61,22,110,240,282,72,159,187,16.24,64.533203,100714.609375,50.943378
2020-09-13 00:10:45,2020/9/13,0:10:45,3.7325,0,0.0,0.0,15492,5060,2017,229,70,37,108,237,287,71,157,190,16.25,64.487305,100721.859375,50.337047999999996
2020-09-13 00:10:55,2020/9/13,0:10:55,3.735,0,0.0,0.0,16332,5334,2128,253,76,49,111,251,306,73,166,203,16.25,64.474609,100708.046875,51.492645
2020-09-13 00:11:05,2020/9/13,0:11:5,3.73375,0,0.0,0.0,16905,5555,2056,301,98,45,117,249,320,77,165,212,16.24,64.498047,100716.992188,50.744296999999996
2020-09-13 00:11:15,2020/9/13,0:11:15,3.73625,0,0.0,0.0,16713,5449,2051,301,86,37,111,260,316,73,172,210,16.24,64.486328,100716.992188,50.744296999999996
2020-09-13 00:11:25,2020/9/13,0:11:25,3.73375,0,0.0,0.0,15492,5063,1879,231,87,47,108,229,293,71,152,194,16.24,64.485352,100709.59375,51.363285
2020-09-13 00:11:35,2020/9/13,0:11:35,3.73375,0,0.0,0.0,16194,5323,2086,270,79,37,113,250,305,74,166,202,16.25,64.509766,100715.03125,50.908009
2020-09-13 00:11:45,2020/9/13,0:11:45,3.73375,0,0.0,0.0,16677,5425,1949,266,90,47,111,241,304,74,160,202,16.24,64.56933599999999,100715.59375,50.861015
2020-09-13 00:11:55,2020/9/13,0:11:55,3.73625,0,0.0,0.0,16578,5401,2188,369,128,56,109,257,343,72,170,228,16.24,64.544922,100717.40625,50.709431
2020-09-13 00:12:05,2020/9/13,0:12:5,3.7325,0,0.0,0.0,16638,5414,2139,303,110,51,112,250,324,74,166,216,16.24,64.50878900000001,100715.179688,51.211693
2020-09-13 00:12:15,2020/9/13,0:12:15,3.73375,0,0.0,0.0,15753,5151,2019,263,46,28,107,246,285,70,164,189,16.24,64.56933599999999,100709.03125,51.410278000000005
2020-09-13 00:12:25,2020/9/13,0:12:25,3.73625,0,0.0,0.0,15645,5137,1973,379,146,87,107,235,340,70,156,226,16.24,64.556641,100715.59375,50.861015
