Timestamp,Date,Time,Battery,Fix,Latitude,Longitude,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0,PM1_Std,PM2.5_Std,PM10_Std,PM1_Env,PM2.5_Env,PM10_Env,Temp(C),RH(%),P(hPa),Alti(m)
2020-09-13 00:00:08,2020/9/13,0:0:8,4.05625,0,0.0,0.0,6483,2106,698,130,18,9,45,107,120,32,70,79,26.4,38.695312,100495.125,69.323387
2020-09-13 00:00:18,2020/9/13,0:0:18,4.05625,0,0.0,0.0,5808,1866,626,73,9,3,44,86,92,31,56,69,26.389999,38.694336,100491.125,69.65798199999999
2020-09-13 00:00:28,2020/9/13,0:0:28,4.05625,0,0.0,0.0,6294,2042,722,88,17,6,48,97,110,33,64,76,26.389999,38.681641,100490.679688,69.695435
2020-09-13 00:00:38,2020/9/13,0:0:38,4.05625,0,0.0,0.0,5871,1918,725,90,19,7,43,90,103,31,59,73,26.389999,38.669922,100488.359375,69.889824
2020-09-13 00:00:48,2020/9/13,0:0:48,4.05625,0,0.0,0.0,5445,1775,698,110,15,3,36,93,103,28,61,74,26.379998999999998,38.65625,100485.289062,70.14748399999999
2020-09-13 00:00:58,2020/9/13,0:0:58,4.05625,0,0.0,0.0,6237,2032,710,115,29,10,45,97,118,32,64,78,26.379998999999998,38.681641,100488.875,69.84679399999999
2020-09-13 00:01:08,2020/9/13,0:1:8,4.05625,0,0.0,0.0,5907,1929,754,139,30,17,39,101,123,29,66,81,26.379998999999998,38.681641,100486.109375,70.078636
2020-09-13 00:01:18,2020/9/13,0:1:18,4.05625,0,0.0,0.0,5931,1919,734,138,35,12,37,97,121,28,64,80,26.389999,38.621094,100483.765625,70.27505500000001
2020-09-13 00:01:28,2020/9/13,0:1:28,4.05625,0,0.0,0.0,6021,1963,650,78,15,9,39,92,103,29,60,73,26.379998999999998,38.65625,100492.203125,69.257584
2020-09-13 00:01:38,2020/9/13,0:1:38,4.05625,0,0.0,0.0,6258,2031,778,102,37,16,42,99,126,30,65,83,26.370001000000002,38.693359,100483.453125,70.301376
2020-09-13 00:01:48,2020/9/13,0:1:48,4.05625,0,0.0,0.0,5904,1952,694,94,31,13,45,90,112,32,59,77,26.379998999999998,38.680664,100486.671875,70.031563
2020-09-13 00:01:58,2020/9/13,0:1:58,4.05625,0,0.0,0.0,6435,2097,753,134,20,6,42,107,122,30,70,80,26.370001000000002,38.65625,100486.78125,70.022446
2020-09-13 00:02:08,2020/9/13,0:2:8,4.05625,0,0.0,0.0,6768,2200,686,115,51,22,47,91,129,32,60,85,26.379998999999998,38.65625,100488.054688,69.915634
2020-09-13 00:02:18,2020/9/13,0:2:18,4.05625,0,0.0,0.0,6027,1926,642,67,15,9,43,87,100,31,57,73,26.379998999999998,38.681641,100488.46875,69.880707
2020-09-13 00:02:28,2020/9/13,0:2:28,4.05625,0,0.0,0.0,5982,1926,646,76,22,6,43,86,100,31,56,72,26.370001000000002,38.680664,100485.8125,70.103447
2020-09-13 00:02:38,2020/9/13,0:2:38,4.05625,0,0.0,0.0,5868,1887,602,56,17,6,43,82,94,31,54,70,26.360001,38.655273,100480.390625,70.558044
